ball,bowler_batsman,result,commentary,length,line
103.1,"Ashwin to Hazlewood, OUT",W,shoulders arms and that hits off stump! Good length ball at a middle and leg stump line. He leaves expecting that to turn away more than it did. Off stump was completely exposed and Ashwin found the top of it,Good,Off Stump
102.6,"Bumrah to Starc, no run",â€¢,"yorker at off stump, jammed into the covers",Yorker,Outside Off
102.5,"Bumrah to Starc, no run",â€¢,"short of a length in the corridor, left alone",Good,Outside Off
102.4,"Bumrah to Starc, no run",â€¢,"bouncer at an off stump, ducks to let it go",Short,Off Stump
102.3,"Bumrah to Starc, no run",â€¢,"short of a length in the corridor, left alone",Good,Outside Off
102.2,"Bumrah to Hazlewood, 1 run",1,"length outside off, reaches out with hard hands and squeezes it behind square on the off side off the outside edge",Good,Outside Off
102.1,"Bumrah to Hazlewood, no run",â€¢,"good length and into off stump, defended to point",Good,Outside Off
101.6,"Ashwin to Starc, no run",â€¢,"huge appeal for lbw as Starc misses what looks like a carrom ball. Rahane reviews. That ball came back in from off stump, on a good length, as Starc tried to flick. Hit him on the knee roll in front of middle. Umpire has confirmed there's no inside edge on it. Tracking shows umpire's call on the wickets. Clipping the bail between middle and leg. India retain the review",Good,Off Stump
101.5,"Ashwin to Starc, no run",â€¢,"good length and turning away from the corridor, left alone",Good,Outside Off
101.4,"Ashwin to Starc, 2 runs",2,"legbreak dropped short at off stump, pulled to long leg's right",Short,Off Stump
101.3,"Ashwin to Starc, no run",â€¢,"tossed up at a length on off stump, blocked on the front foot",Full,Off Stump
101.2,"Ashwin to Starc, no run",â€¢,"short of a length just outside off, punched into the covers off the back foot",Good,Outside Off
101.1,"Ashwin to Starc, no run",â€¢,"good length on leg stump, defended into the leg side",Good,Leg Stump
100.6,"Siraj to Hazlewood, no run",â€¢,"good length just outside off, blocked on the front foot",Good,Outside Off
100.5,"Siraj to Hazlewood, no run",â€¢,"short at leg stump, lets that go",Short,Leg Stump
100.4,"Siraj to Starc, 1 run",1,"good length and into leg stump, flicked to fine leg with the angle",Good,Leg Stump
100.3,"Siraj to Starc, no run",â€¢,"bouncer in the corridor, sways to leave",Short,Outside Off
100.2,"Siraj to Starc, no run",â€¢,"good length outside off, left alone",Good,Outside Off
100.1,"Siraj to Starc, no run",â€¢,"good length at off stump, defends with an angled bat. Thick outside edge to backward point",Good,Outside Off
99.6,"Bumrah to Hazlewood, no run",â€¢,oh well left. Bouncer rising up awkwardly at his throat. Watches closely and sways away to let that go,Short,Unknown
99.5,"Bumrah to Hazlewood, 2 runs",2,"full and just outside off, camps deep in the crease and squeezes a drive to mid-off's right",Full,Outside Off
99.4,"Bumrah to Hazlewood, no run",â€¢,"bouncer down leg side, left alone",Short,Leg Stump
99.3,"Bumrah to Hazlewood, no run",â€¢,"good length and pushed across the corridor, beaten on the poke",Good,Outside Off
99.2,"Bumrah to Hazlewood, no run",â€¢,"good length and just outside off, defended off the back foot",Good,Outside Off
99.1,"Bumrah to Starc, 1 run",1,"good length and into the pads, stands tall and flicks aerially past leg gully",Good,Outside Off
98.6,"Siraj to Hazlewood, no run",â€¢,"too short and across off stump, left alone",Short,Off Stump
98.5,"Siraj to Hazlewood, no run",â€¢,"beats him again. Short of a length and pushed across the corridor, looks to defend again",Good,Outside Off
98.4,"Siraj to Hazlewood, no run",â€¢,"beaten on the outside edge. Short and across middle stump, gets on his toes to try and defend",Short,Middle Stump
98.3,"Siraj to Hazlewood, no run",â€¢,"good length and across off stump, pushes at that and is beaten",Good,Off Stump
98.2,"Siraj to Hazlewood, no run",â€¢,beaten on the ramp. Bouncer at a middle and leg line. Arches back to try and lift that,Short,Middle Stump
98.1,"Siraj to Hazlewood, no run",â€¢,"short at leg stump, defended in front of the short leg fielder",Short,Leg Stump
97.6,"Bumrah to Hazlewood, 1 run",1,"at a length and into the pads, pushed into the leg side",Good,Leg Stump
97.5,"Bumrah to Hazlewood, no run",â€¢,attempted yorker raps the pad on the full as he looks for the flick,Yorker,Leg Stump
97.4,"Bumrah to Hazlewood, no run",â€¢,"bouncer down leg side, left alone",Short,Leg Stump
97.3,"Bumrah to Starc, 1 run",1,lethal yorker headed straight for the front toe. Starc does superbly to whip this down to fine leg,Yorker,Leg Stump
97.2,"Bumrah to Starc, no run",â€¢,"bouncer at a middle stump line, ducks to let that go",Short,Middle Stump
97.1,"Bumrah to Hazlewood, 1 run",1,fended into the leg side. Short and into the ribs. Stands tall and gloves that to the keeper's right,Short,Leg Stump
96.6,"Siraj to Starc, no run",â€¢,"bouncer across the corridor, beaten on the pull",Short,Outside Off
96.5,"Siraj to Hazlewood, 5 runs",5,"Hazlewood gets a strike rate of 500 first up. Short at middle stump, gets on his toes and drops it into the leg side with soft hands. Siraj fields, swivels and throws at the non-striker's end. At mid-on, Ashwin's missed it completely",Good,Middle Stump
96.4,"Siraj to Lyon, OUT",W,"taken down leg side. That was going to be the last over before lunch, possibly, and Australia are nine down. Short and a bit too quick for Lyon's pull at hip height. He's strangled and gets a glove on that. Doesn't review it. Wicket number five for Siraj on debut",Short,Leg Stump
96.3,"Siraj to Lyon, no run",â€¢,"full and into the pads, can't get the flick",Full,Leg Stump
96.2,"Siraj to Lyon, no run",â€¢,"full at middle stump, punched to mid-on",Full,Middle Stump
96.1,"Siraj to Lyon, no run",â€¢,"good length and into the pad, flicked to leg gully",Good,Outside Off
95.6,"Jadeja to Starc, no run",â€¢,"an appeal is given out. Not sure if it's for lbw or catch at slip, but Starc reviews. He was looking to flick a full one from middle stump. It lobbed up to Rahane's left at slip. Early indications are that his bat hit his front shoe. And Hotspot confirms that. The spot comes before the ball is close to bat. Umpire Wilson says he's sending it back to the on-field call, so it seems the on-field umpire had given it for the catch. He then remembers that he must check for lbw. And on that, the ball is sliding down leg. Oxenford reverses the decision.",Full,Outside Off
95.5,"Jadeja to Starc, no run",â€¢,"good length outside off, blocked on the front foot",Good,Outside Off
95.4,"Jadeja to Starc, 2 runs",2,"misfield at midwicket and that becomes two. Short of a length, onto the back foot to pat this to Pujara's left",Good,Unknown
95.3,"Jadeja to Starc, no run",â€¢,just short of midwicket. Lunging to his left as Starc flicks uppishly from middle stump,Short,Middle Stump
95.2,"Jadeja to Starc, no run",â€¢,past the outside edge. Starc drives inside the line of this length ball outside off,Good,Outside Off
95.1,"Jadeja to Starc, no run",â€¢,"good length on off, blocked on the front foot",Good,Off Stump
94.6,"Siraj to Starc, 1 run",1,"full and into the pads, flicked to fine leg",Full,Leg Stump
94.5,"Siraj to Starc, no run",â€¢,"short and outside off, sways away to let that go",Short,Outside Off
94.4,"Siraj to Starc, no run",â€¢,"good length and just outside off, defended into the covers",Good,Outside Off
94.3,"Siraj to Lyon, 1 leg bye",1lb,double-bluff. Goes full and on leg stump. Lyon cops the attempted flick on his pad. Siraj the only man in Melbourne appealing for that,Full,Leg Stump
