ball,bowler_batsman,result,commentary,length,line
21.5,"Sundar to Warner, no run",â€¢,drives to one of the two short covers,Good,Outside Off
21.4,"Sundar to Warner, no run",â€¢,"full at middle and leg, pushed to mid-on",Full,Middle Stump
21.3,"Sundar to Warner, no run",â€¢,"touch shorter, defended on the back foot",Short,Unknown
21.2,"Sundar to Warner, no run",â€¢,"touch of spin outside off, left alone",Unknown,Outside Off
21.1,"Sundar to Warner, no run",â€¢,"full at off stump, defended into midwicket",Full,Off Stump
20.6,"Thakur to Harris, no run",â€¢,"short of a length, defended",Good,Unknown
20.5,"Thakur to Harris, FOUR runs",4,"another cracking drive...gets onto the front foot to a full delivery just outside off, places it wide of mid-off",Full,Outside Off
20.4,"Thakur to Harris, no run",â€¢,"back of a length at off stump, goes for the late cut but he's cramped for room",Good,Off Stump
20.3,"Thakur to Harris, no run",â€¢,"short of a length, tucked into the leg side",Good,Leg Stump
20.2,"Thakur to Warner, 1 run",1,jabs a very full delivery square into the off side,Full,Off Stump
20.1,"Thakur to Warner, no run",â€¢,"beaten again! This zips through outside off, Warner pushing at it. Thakur thought he might have nicked it",Unknown,Outside Off
19.6,"Sundar to Harris, no run",â€¢,"slides on outside off, left alone",Unknown,Outside Off
19.5,"Sundar to Harris, no run",â€¢,"fuller at off stump, gets forward and works to mid-on",Full,Off Stump
19.4,"Sundar to Harris, no run",â€¢,"touch more bounce on this one, left alone",Unknown,Unknown
19.3,"Sundar to Harris, no run",â€¢,"outside off, left alone",Unknown,Outside Off
19.2,"Sundar to Harris, no run",â€¢,"floated up, pushed square on the off side",Unknown,Off Stump
19.1,"Sundar to Warner, 1 run",1,"full at off stump, driven to deep cover",Full,Outside Off
18.6,"Thakur to Harris, no run",â€¢,"on middle, back of a length, defended",Good,Middle Stump
18.5,"Thakur to Harris, no run",â€¢,"short of a length at middle and off, defended",Good,Off Stump
18.4,"Thakur to Harris, 2 runs",2,"super shot, he's played some good ones this morning, onto the front foot and drives on the up into the covers",Good,Outside Off
18.3,"Thakur to Harris, no run",â€¢,"short of a length, outside off, left alone",Good,Outside Off
18.2,"Thakur to Warner, 1 run",1,"fuller at off stump, onto the front foot and pushes into the point area",Full,Outside Off
18.1,"Thakur to Warner, no run",â€¢,"what a ripper! That's unplayable. Short of a length at middle, jags away and climbs past Warner's outside edge",Good,Middle Stump
17.6,"Sundar to Harris, no run",â€¢,defended from off stump,Unknown,Off Stump
17.5,"Sundar to Harris, FOUR runs",4,"lovely batting, superbly played, this slid on with the arm, a very delicate late cut from Harris down to third man. Lead is over 100",Unknown,Unknown
17.4,"Sundar to Harris, no run",â€¢,"outside off, left alone",Unknown,Outside Off
17.3,"Sundar to Harris, no run",â€¢,"short of a length outside off, cut to backward point",Good,Outside Off
17.2,"Sundar to Warner, 3 runs",3,"full at off stump, a strong whip through midwicket, Saini has to chase so a test for that groin. Certainly nowhere near full tilt",Full,Off Stump
17.1,"Sundar to Warner, no run",â€¢,"outside off, left alone",Unknown,Outside Off
16.6,"Thakur to Harris, no run",â€¢,"a beauty! Full at off stump, nips away off the seam to beat the outside edge",Full,Off Stump
16.5,"Thakur to Harris, no run",â€¢,"just outside off, back of a length, a late cut from Harris which goes to gully",Good,Outside Off
16.4,"Thakur to Harris, no run",â€¢,"short of a length, pushed into the off side, no chance of the single",Good,Off Stump
16.3,"Thakur to Harris, no run",â€¢,"outside off, through to the keeper",Unknown,Outside Off
16.2,"Thakur to Harris, no run",â€¢,"angled across, left alone",Unknown,Unknown
16.1,"Thakur to Harris, no run",â€¢,"good length at off stump, defended",Good,Off Stump
15.6,"Sundar to Warner, no run",â€¢,"angled in at middle and off, defended. Nice start",Unknown,Off Stump
