ball,bowler_batsman,result,commentary,length,line
115.2,"Natarajan to Hazlewood, OUT",W,knocks out off stump with a full one! Simple as that. Driving length and straight on at an off stump line. Hazlewood has got his feet down leg side and is driving with a massive gap between bat and legs. Beaten on the inside edge,Full,Off Stump
115.1,"Natarajan to Hazlewood, no run",â€¢,good length and into the pads. Hazlewood cops that on the thigh as he looks to glance,Good,Leg Stump
114.6,"Sundar to Starc, no run",â€¢,"short of a length and turning away outside off, left alone",Good,Outside Off
114.5,"Sundar to Starc, no run",â€¢,"good length at middle stump, defended off the outside half on the front foot",Good,Off Stump
114.4,"Sundar to Starc, no run",â€¢,"good length, spun away wide outside off as he leaves",Good,Outside Off
114.3,"Sundar to Starc, no run",â€¢,"short of a length and turning away outside off, left alone",Good,Outside Off
114.2,"Sundar to Starc, no run",â€¢,"length outside off, left alone",Good,Outside Off
114.1,"Sundar to Starc, no run",â€¢,"good length and wide outside off, left alone",Good,Outside Off
113.6,"Siraj to Hazlewood, FOUR runs",4,"wow! Hazlewood in all his glory! A length ball wide outside off and he's just hit the most flowing, graceful drive on the rise. Rapidly through the vacant covers region",Good,Outside Off
113.5,"Siraj to Hazlewood, no run",â€¢,"short at off stump, left alone",Short,Off Stump
113.4,"Siraj to Hazlewood, FOUR runs",4,punched to the cover boundary! This is short of a length and pushed just outside off. Lots of room for Hazlewood who is batting outside leg stump and gets his hands through a well-timed punch off the back foot,Good,Outside Off
113.3,"Siraj to Hazlewood, no run",â€¢,"short and just outside off, left alone",Short,Outside Off
113.2,"Siraj to Hazlewood, no run",â€¢,"short and at a middle stump line. Backs away to try and ramp this over the slips, beaten",Short,Outside Off
113.1,"Siraj to Starc, 1 run",1,"good length and into leg stump, flicked to deep square",Good,Leg Stump
112.6,"Sundar to Hazlewood, no run",â€¢,"good length on off stump, blocked on the front foot",Good,Off Stump
112.5,"Sundar to Starc, 1 run",1,"full on middle stump, driven to long-on",Full,Middle Stump
112.4,"Sundar to Hazlewood, 1 run",1,"full on off stump, driven firmly to short extra's left. He can't stop that cleanly, it trickles out to long-off",Full,Off Stump
112.3,"Sundar to Hazlewood, no run",â€¢,"good length and angled into the corridor, left alone",Good,Outside Off
112.2,"Sundar to Hazlewood, no run",â€¢,"full on middle stump, blocked on the front foot",Full,Middle Stump
112.1,"Sundar to Starc, 1 run",1,"full on off stump, driven to long-off with the turn",Full,Off Stump
111.6,"Siraj to Hazlewood, no run",â€¢,"full at middle stump, punched to mid-on",Full,Middle Stump
111.5,"Siraj to Hazlewood, no run",â€¢,"full and into the stumps, clipped into the leg side",Full,Leg Stump
111.4,"Siraj to Starc, 1 run",1,"evades Mayank running to his left! Short of a length outside off, looks for the pull. Ends up slicing it and mid-on is back. So Agarwal has to run to his left from extra cover and leap full stretch for that. Agarkar points out on air that mid-on had no business being back for a predominantly short-pitched bowling strategy",Full,Outside Off
111.3,"Siraj to Starc, no run",â€¢,"short and into middle stump, defended down the pitch",Short,Middle Stump
111.2,"Siraj to Starc, no run",â€¢,"bouncer dug in too short again, easily left alone",Short,Unknown
111.1,"Siraj to Starc, no run",â€¢,good length and straightening in the corridor as he looks to stab through the covers. Beaten,Good,Outside Off
110.6,"Sundar to Hazlewood, no run",â€¢,"full and into leg stump, flicked to short fine with the angle",Full,Leg Stump
110.5,"Sundar to Hazlewood, no run",â€¢,"good length at off stump, defended into the covers",Good,Outside Off
110.4,"Sundar to Hazlewood, no run",â€¢,"good length on off stump, blocked on the front foot",Good,Off Stump
110.3,"Sundar to Hazlewood, no run",â€¢,"good length on off stump, defended on the front foot",Good,Off Stump
110.2,"Sundar to Hazlewood, no run",â€¢,"good length outside off, driven on the rise to short extra cover",Good,Outside Off
110.1,"Sundar to Hazlewood, no run",â€¢,"good length on off stump, defended on the front foot",Good,Off Stump
109.6,"Siraj to Starc, no run",â€¢,"bouncer dug in too short, left alone",Short,Unknown
109.5,"Siraj to Hazlewood, 1 run",1,"full and just outisde off, steered through cover on the up",Full,Outside Off
109.4,"Siraj to Hazlewood, no run",â€¢,"short and across him again, left alone",Short,Unknown
109.3,"Siraj to Hazlewood, no run",â€¢,"short and rising above off stump, arches back to let it go",Short,Off Stump
109.2,"Siraj to Hazlewood, no run",â€¢,"good length outside off, punched to mid-off on the front foot",Good,Outside Off
109.1,"Siraj to Hazlewood, no run",â€¢,"good length and just outside off, defended off the back foot",Good,Outside Off
108.6,"Sundar to Starc, no run",â€¢,"good length outside off, defended to cover on the front foot",Good,Outside Off
108.5,"Sundar to Hazlewood, 1 run",1,"full on off stump, nicely driven with the turn to long-off",Full,Off Stump
108.4,"Sundar to Hazlewood, no run",â€¢,"good length at the stumps, defended into the leg side",Good,Leg Stump
108.3,"Sundar to Hazlewood, no run",â€¢,"good length and turning away outside off, far away from the bat",Good,Outside Off
108.2,"Sundar to Lyon, OUT",W,"bowled him. Full and at middle and leg. He's shuffled once again to try and sweep, but this one is pushed deliberately fuller to beat the under-edge. Splits the stumps and that is Lyon's cameo done",Full,Middle Stump
108.1,"Sundar to Lyon, no run",â€¢,"full and down leg side, too wide for him to reach with a sweep",Full,Outside Off
107.6,"Siraj to Starc, no run",â€¢,"bouncer dug in too short, Starc drops his head into the leg side to let it go",Short,Leg Stump
107.5,"Siraj to Starc, no run",â€¢,"good length on off stump, defended towards mid-off",Good,Off Stump
107.4,"Siraj to Lyon, 1 run",1,"short and up at the throat, swivels and hooks to deep square's right",Short,Unknown
107.3,"Siraj to Lyon, no run",â€¢,"good length and down leg side, beaten on the flick",Good,Leg Stump
107.2,"Siraj to Starc, 1 run",1,Natarajan drags it in to his left at fine leg. A short ball that Starc top edges on the pull. It was bouncing away to the fieder's left and he's sprinted along the line before flapping it in,Short,Leg Stump
107.1,"Siraj to Starc, no run",â€¢,"full on middle stump, driven against the angle to mid-on",Full,Middle Stump
106.6,"Sundar to Starc, 1 run",1,"full on off stump, driven to long-off with the turn",Full,Off Stump
106.5,"Sundar to Starc, 2 runs",2,"full and angled into the pads, reaches out and flicks to midwicket's left",Full,Outside Off
106.4,"Sundar to Starc, no run",â€¢,"length on off stump, defended on the back foot",Good,Off Stump
106.3,"Sundar to Starc, no run",â€¢,"good length at off stump, defended on the front foot",Good,Off Stump
106.2,"Sundar to Starc, 2 runs",2,"full and just outside off, chops down on that for a thick outside edge fine of backward point",Full,Outside Off
106.1,"Sundar to Lyon, 1 run",1,"good length at off stump, shuffles and sweeps out to deep square",Good,Off Stump
105.6,"Thakur to Starc, no run",â€¢,"short and wide outside off, left alone",Short,Outside Off
105.5,"Thakur to Lyon, 1 run",1,"short of a length at leg stump, dragged down to fine leg off the back foot",Good,Off Stump
105.4,"Thakur to Lyon, FOUR runs",4,"good length and just outside off, half a stride again and lovely punch on the rise to mid-off's right",Good,Outside Off
105.3,"Thakur to Lyon, no run",â€¢,"short and very wide outside off, beaten on the cut",Short,Outside Off
105.2,"Thakur to Starc, 1 run",1,"short at off stump, pulled to deep square",Short,Off Stump
105.1,"Thakur to Starc, 2 runs",2,"oh, neat. Good length and just outside off, stands tall and punches that between non-striker and mid-off off the back foot",Good,Outside Off
104.6,"Sundar to Lyon, no run",â€¢,"good length at middle and leg, defended into the leg side",Good,Middle Stump
104.5,"Sundar to Lyon, no run",â€¢,"yorker at middle stump, jammed into the leg side",Yorker,Middle Stump
104.4,"Sundar to Lyon, 2 runs",2,"short of a length on middle stump, gets deep in the crease and flicks to deep backward square's left",Good,Middle Stump
104.3,"Sundar to Lyon, no run",â€¢,"good length, turning and rising down leg and a sharp take from Pant above his hip",Good,Leg Stump
104.2,"Sundar to Lyon, no run",â€¢,"swept straight into Shaw's right knee at short leg. Another sweep from off stump, strikes him on the full",Full,Off Stump
104.1,"Sundar to Lyon, FOUR runs",4,"swiped past short fine! Good length and wide outside off, shuffles and gets down quickly on his back knee to execute the sweep to perfection",Good,Outside Off
103.6,"Thakur to Lyon, 1 run",1,"short at middle stump, pulls into the ground and out to deep square",Short,Middle Stump
103.5,"Thakur to Lyon, no run",â€¢,beaten on the inside edge. Good length and jagging in off the seam outside off. Lyon was looking to punch through cover,Good,Outside Off
103.4,"Thakur to Lyon, no run",â€¢,"lbw appeal is turned down. Good length and headed for middle stump. Strikes him on the thigh, and there was possibly an inside edge on it",Good,Middle Stump
103.3,"Thakur to Lyon, no run",â€¢,"short of a length at middle, defended off the back foot",Good,Off Stump
103.2,"Thakur to Lyon, FOUR runs",4,"oh beauty! Four aesthetic runs with an on-drive he's beaming about. Full and at middle stump, only half a stride as he brings the full face down on this and gets it past the non-striker",Full,Middle Stump
103.1,"Thakur to Lyon, FOUR runs",4,"oh, lovely shot. A nice swivel on this hook from Lyon. Cramped at the ribs again, but he's got the weight onto his back foot and pulled aerially to the backward square boundary",Short,Unknown
102.6,"Sundar to Starc, SIX runs",6,"sweeeet! Starc launches this over the long-on boundary with ease, and a lovely swing through the line. It's overpitched at off stump and he clears the front leg to nail this",Good,Off Stump
102.5,"Sundar to Starc, no run",â€¢,"full at off stump, pushed into the covers",Full,Outside Off
102.4,"Sundar to Starc, no run",â€¢,"full on off stump, defended on the front foot",Full,Off Stump
102.3,"Sundar to Starc, no run",â€¢,"short of a length outside off, chopped to backward point",Good,Outside Off
102.2,"Sundar to Starc, no run",â€¢,"full on off stump, driven to mid-off",Full,Off Stump
102.1,"Sundar to Starc, no run",â€¢,"good length and just outside off, blocked on the front foot",Good,Outside Off
101.6,"Thakur to Lyon, no run",â€¢,"short of a length and just outside off, punched into the covers",Good,Outside Off
101.5,"Thakur to Lyon, 2 runs",2,"short and cramped at the ribs, a hurried pull into vacant square leg",Short,Leg Stump
101.4,"Thakur to Cummins, OUT",W,"that looks plumb as anything. Cummins reviews though, has he got bat on that? He's been struck on the full, above the boot flap, right in front of middle stump. He was looking to flick and was through it far too soon...and that is hitting leg stump. This is now officially a collapse for Australia, and a review goes alongside Cummins",Full,Off Stump
101.3,"Thakur to Cummins, no run",â€¢,"good length and wide outside off, left alone",Good,Outside Off
101.2,"Thakur to Starc, 1 run",1,"good length at middle stump, flicked to deep square",Good,Middle Stump
101.1,"Thakur to Cummins, 1 run",1,full and a slight curve away in the corridor. Jammed into the covers,Full,Outside Off
100.6,"Sundar to Starc, no run",â€¢,"full and just outside off, driven back to the bowler",Full,Outside Off
100.5,"Sundar to Green, OUT",W,"plays the wrong line and is cleaned up! Green expected this length ball to turn into his stance down the leg side, but it's held its line slightly as he gets an angled bat down, trying to pat this towards mid-on. It's past his outside edge and hits middle and leg",Good,Middle Stump
