ball,bowler_batsman,result,commentary,length,line
115.1,"Lyon to Bumrah, OUT",W,"Lyon finishes with three as Bumrah perishes while going for a slog sweep. Was tossed up around off, Bumrah can only get a top edge and an easy catch for Head at midwicket",Full,Off Stump
114.6,"Hazlewood to Siraj, no run",â€¢,"fuller and angling towards the pads, Siraj once again is moving towards the leg side, finds himself in an awkward position and gets rapped on the pads",Full,Leg Stump
114.6,"Hazlewood to Siraj, 1 wide",1w,"here is the bouncer and Siraj ducks under it, called a wide for height",Short,Outside Off
114.5,"Hazlewood to Siraj, no run",â€¢,"a play and a miss. Was a length ball around fourth stump, Siraj was already moving towards the leg side, perhaps he was expecting a short one. Pushes at it in the end and gets beaten",Good,Leg Stump
114.4,"Hazlewood to Ashwin, OUT",W,"Lyon takes it at backward point. Was a length ball outside off, Ashwin wanted to drive it on the up, over covers but gets it only from the outer half of the bat and an easy catch for Lyon there",Good,Outside Off
114.3,"Hazlewood to Ashwin, no run",â€¢,"length ball around off, punched firmly but extra cover moves to his right to make the stop",Good,Outside Off
114.2,"Hazlewood to Ashwin, no run",â€¢,"length ball outside off, steered towards point",Good,Outside Off
114.1,"Hazlewood to Ashwin, no run",â€¢,"a bouncer but down the leg side, Ashwin lets it go through",Short,Leg Stump
113.6,"Lyon to Yadav, OUT",W,"taken at slip. A loopy offbreak outside off, Umesh lunges forward and looks to defend. Hard hands and the ball takes an outside edge. Smith takes it at knee height",Unknown,Outside Off
113.5,"Lyon to Yadav, no run",â€¢,"length ball on the stump, defended",Good,Unknown
113.4,"Lyon to Ashwin, 1 run",1,"fuller outside off, drives it towards extra cover where the fielder dives to his right to make a partial stop",Full,Outside Off
113.3,"Lyon to Ashwin, no run",â€¢,"length ball angling across, Ashwin goes back and turns it towards square leg",Good,Leg Stump
113.2,"Lyon to Ashwin, no run",â€¢,"fuller on the pads, Ashwin comes forward and pushes it on the leg side",Full,Leg Stump
113.1,"Lyon to Yadav, 1 run",1,"length ball on middle and leg, flicked towards backward square leg",Good,Middle Stump
112.6,"Hazlewood to Yadav, 1 run",1,"short of length on the pads, hops and flicks it towards fine leg",Good,Leg Stump
112.5,"Hazlewood to Yadav, no run",â€¢,"short of length around off, Umesh looks to pull but can manage only an inside edge on to the thigh",Good,Off Stump
112.4,"Hazlewood to Yadav, no run",â€¢,"bouncer on middle and leg but not as threatening as those from Starc, Umesh ducks under",Short,Middle Stump
112.3,"Hazlewood to Ashwin, 1 run",1,"length ball outside off, drops it towards point to sneak in a single",Good,Outside Off
112.2,"Hazlewood to Ashwin, no run",â€¢,bouncer but at a manageable pace. Ashwin sways away,Short,Unknown
112.1,"Hazlewood to Ashwin, no run",â€¢,"fuller around off, Ashwin has a chance to come on the front foot and he pushes it back towards the bowler",Full,Off Stump
111.6,"Lyon to Yadav, no run",â€¢,"length ball spinning towards middle and leg, tucked away around the corner, Ashwin was initially thinking of a single but realises soon there isn't one there",Good,Middle Stump
111.5,"Lyon to Ashwin, 1 run",1,"fuller on the leg stump, pushes it towards deep midwicket",Full,Leg Stump
111.4,"Lyon to Ashwin, no run",â€¢,"fuller at the stumps, defended back",Full,Unknown
111.3,"Lyon to Ashwin, no run",â€¢,"fuller around off, comes forward and defends",Full,Off Stump
111.2,"Lyon to Ashwin, 2 runs",2,"fuller outside off, Ashwin hops in his crease before steadying himself, drives it towards cover-point for the fielder dives to his right but cannot makes the stop",Full,Outside Off
111.1,"Lyon to Ashwin, no run",â€¢,"length ball down the leg side from around the wicket, tickled towards short fine leg",Good,Leg Stump
110.6,"Starc to Yadav, no run",â€¢,"fuller outside off, Umesh looks to smash it down the ground but misses and gets hit on the pads. An appeal for lbw but denied. The impact was well outside off",Full,Outside Off
110.5,"Starc to Yadav, no run",â€¢,"bouncer again, in the line of the stumps. Umesh ducks under this time",Short,Unknown
110.4,"Starc to Yadav, no run",â€¢,"another bouncer but well outside off, Umesh was anyway moving towards the off side. Goes for the awkward hook but misses",Short,Outside Off
110.3,"Starc to Ashwin, 1 run",1,"length ball around off, Ashwin pushes it towards point for one",Good,Outside Off
110.2,"Starc to Ashwin, no run",â€¢,"short of length angling across, Ashwin stays back and taps it towards point",Good,Outside Off
110.1,"Starc to Yadav, 1 run",1,"fuller and wider outside off, Umesh pushes it towards covers for a single. He wanted the second but Ashwin sends him back",Full,Outside Off
109.6,"Lyon to Ashwin, no run",â€¢,"a touch fuller on the pads, pushes it towards square leg",Full,Leg Stump
