ball,bowler_batsman,result,commentary,length,line
86.6,"Bumrah to Green, OUT",W,"and now the length ball, nipping in, Green stepping away to thrash it again, but is beaten. Or is he? Saha's gone up in spontaneous appeal and the umpire has given it. Green takes a pause and then reviews. There is a spike as the ball passes bat, and it does look like it took a feather of an inside edge, so Green's entertaining knock ends. Bumrah has some reward at last, having bowled his heart out.",Good,Unknown
86.5,"Bumrah to Green, SIX runs",6,"take that says Green. If you bounce me, I'll send you over the fence. And not just that, I'll do it on the front foot to a ball that's homing in on my head. Bumrah banged it in hard and it was rising, but Green hooks it on the front foot over square leg.",Short,Leg Stump
86.4,"Bumrah to Green, FOUR runs",4,"what a shot. Stunning execution by Green. This is almost a yorker on the stumps, he's gone on the back foot, cleared his front leg and drilled it straight past the bowler",Yorker,Leg Stump
86.3,"Bumrah to Green, no run",â€¢,"length outside off, Saha collected it in front of his face. Good carry with the new ball. The batsman was poking at it, luckily for him, doesn't catch the edge",Good,Outside Off
86.2,"Bumrah to Green, no run",â€¢,"bouncer on the stumps, ducks under it",Short,Unknown
86.1,"Bumrah to Paine, 1 run",1,"short outside off, cuts off the back foot to deep point",Short,Outside Off
85.6,"Siraj to Green, SIX runs",6,"doesn't time it as well but still gets it over long-on! This was not as full as the previous one, more bottom hand in this as he doesn't get fully underneath. Goes flatter than the last ball but still sails over long-on.",Full,Unknown
85.5,"Siraj to Green, SIX runs",6,"boom. Cameron Green is showing off his hitting power. Full ball on the stumps, goes deep in his crease to go underneath the ball and uses his height and long hands to power through a golf swing waaaay over long-on. That's a shot that's not out of place in the slog overs of a T20 game",Full,Off Stump
85.4,"Siraj to Green, 2 runs",2,"full outside off, bends his back leg and punches through cover with excellent timing",Full,Outside Off
85.3,"Siraj to Paine, 1 run",1,"fuller on off, looking to drive, gets a thin inside edge that trickles towards leg gully",Full,Outside Off
85.2,"Siraj to Green, 1 run",1,"length outside off, opens the face to steer it to point",Good,Outside Off
85.1,"Siraj to Paine, 1 run",1,"back of a length outside off, pushes it between cover and point",Good,Outside Off
84.6,"Bumrah to Paine, 1 run",1,"length outside off, stays legside of it and steers to backward point",Good,Outside Off
84.5,"Bumrah to Paine, no run",â€¢,"length ball going down leg, doesn't connect with the flick",Good,Leg Stump
84.4,"Bumrah to Paine, no run",â€¢,"very full on off, defended back to the bowler",Full,Off Stump
