ball,bowler_batsman,result,commentary,length,line
21.2,"Cummins to Shami, no run",â€¢,"can't get out of the way. Short ball, doesn't quite rise as much. It's headed down leg side. Shami is backing into the leg side and trying to evade. Cops that on his right forearm and the team doctor is out",Short,Leg Stump
21.1,"Cummins to Shami, no run",â€¢,ducks and swishes at the same time. It's gone past him quickly. A bouncer at a leg stump line,Short,Leg Stump
20.6,"Hazlewood to Yadav, no run",â€¢,full and dipping into off stump. Driven back to the bowler,Full,Off Stump
20.5,"Hazlewood to Yadav, FOUR runs",4,"hacks at it and gets it down to fine leg. Short ball rising outside off, gives it a heave from underneath and the top edge brings him runs",Short,Outside Off
20.4,"Hazlewood to Yadav, no run",â€¢,"good length at off stump, defended on the back foot",Good,Off Stump
20.3,"Hazlewood to Shami, 1 run",1,good length and into middle stump. Gets deep in the crease and punches to deep midwicket,Good,Middle Stump
20.2,"Hazlewood to Shami, no run",â€¢,"good length at off stump, solidly behind the line to defend into the covers",Good,Outside Off
20.1,"Hazlewood to Vihari, OUT",W,"that's five for Hazlewood! Take a bow, you absolute beast. What a spell. So persistent, near-perfect this morning. It's another trademark dismissal - draw the batsman in with the angle in at the stumps, straighten it off the surface to draw the edge. And the edges are carrying today. Vihari on the front foot, thick outside edge, and Paine lunges to his right with two hands to hold on",Unknown,Off Stump
19.6,"Cummins to Yadav, no run",â€¢,"inside edge onto pad again for Umesh. Good length outside off, reaches out in front of his body for this",Good,Outside Off
19.5,"Cummins to Vihari, 1 run",1,good length and slanted in at middle stump. Gets forward and hurriedly pokes this into the leg side for the single,Good,Middle Stump
19.4,"Cummins to Vihari, no run",â€¢,"good length on off stump, defended into the coves from the crease",Good,Off Stump
19.3,"Cummins to Vihari, no run",â€¢,stabbed to gully. Short of a length and tucking him at an off stump. Arches into the leg side to try and squeeze this through the cordon,Good,Outside Off
19.2,"Cummins to Vihari, FOUR runs",4,"handsome. Vihari gets his weight onto the back foot and on top of the bounce of this, short of a length and rising outside off. He's in position perfectly and executes a deft square cut, along the floor",Good,Outside Off
19.1,"Cummins to Vihari, no run",â€¢,"good length and just outside off, gets forward and defends to cover's left",Good,Outside Off
18.6,"Hazlewood to Yadav, no run",â€¢,"inside edge onto the pad. Decently played, in that he's got behind the line. It's a good length ball seaming into his body and he brings down an angled bat",Good,Leg Stump
18.5,"Hazlewood to Ashwin, OUT",W,"there's a sound and the umpire's heard it too. Ashwin reviews the catch behind. Good length, landing on the seam in the corridor. Jags away the tiniest bit from the surface. Ashwin is caught inside the line on the forward defence...there's nothing on Hotspot. But Snicko has the slightest murmur. Ashwin will go first ball. Wicket number 200 for Hazlewood and now he's on a hat-trick",Good,Outside Off
18.4,"Hazlewood to Saha, OUT",W,"chipped straight to midwicket! There is no stop to this carnage. What a treat to watch this guy bowl. Not his best delivery of the morning by any stretch, but everything around this delivery means Saha has gone with hard hands at a ball dipping into his leg stump. It's a good length delivery, he reaches out and looks to close the face. He's not close enough to do that and that's off the inside part of a turning bat",Good,Outside Off
18.3,"Hazlewood to Saha, no run",â€¢,"short and rising wide of the corridor, lets that go",Short,Outside Off
18.2,"Hazlewood to Saha, no run",â€¢,"good length and just outside off, solidly forward to defend",Good,Outside Off
