ball,bowler_batsman,result,commentary,length,line
72.1,"Yadav to Hazlewood, OUT",W,"taken at slip. A sharp take too, from Pujara at first slip. Short ball at middle and leg. He backs away and looks to steer that over the cordon. He's done alright with the technique, but needs a couple of more inches on that to clear the leaping fielder. Nice hang time from Pujara as he gets to hands on that",Short,Outside Off
71.6,"Bumrah to Paine, FOUR runs",4,"top edge runs away fine. Short ball wide outside off. Looks to hook towards deep square with the face closed, ends up with three bonus runs. That's eight off the over",Short,Outside Off
71.5,"Bumrah to Paine, no run",â€¢,"good length at off stump, looks to drop that off side to pinch the run, but times it too well. Point is on it quickly",Good,Outside Off
71.4,"Bumrah to Paine, no run",â€¢,"good length and into middle stump, pushed to mid-on with the angle",Good,Middle Stump
71.3,"Bumrah to Paine, no run",â€¢,good length and in at off stump. Defends to cover,Good,Outside Off
71.2,"Bumrah to Paine, 2 runs",2,"good length and just outside off, waits on this one too and pats it expertly to sweeper's right for another easy two",Good,Outside Off
71.1,"Bumrah to Paine, 2 runs",2,"full and into leg stump, allows that on and flicks to deep square's left elegantly. Easy two there",Full,Leg Stump
70.6,"Ashwin to Paine, 1 run",1,"shortish, a bit of width, chopped to the right of backward point to keep the strike",Short,Outside Off
70.5,"Ashwin to Paine, no run",â€¢,"tossed up on off stump, driven firmly to mid-off",Full,Off Stump
70.4,"Ashwin to Paine, no run",â€¢,"flat legbreak, zips past the outside edge just outside off as Paine looks to make room and cut",Good,Outside Off
70.3,"Ashwin to Paine, no run",â€¢,"shortish, but it sticks in the pitch as he looks to make room again. Flat-batted down to mid-off",Good,Off Stump
70.2,"Ashwin to Paine, no run",â€¢,flat offbreak spinning in towards leg stump. Cramped for room as he looks to create some. Punched to short extra-cover,Good,Outside Off
70.1,"Ashwin to Paine, FOUR runs",4,"shot. Tossed up outside off, and Paine knows most of the fielders are on the leg side. No one behind square on the off side, and he reverse-sweeps firmly into that wide open area",Full,Outside Off
69.6,"Bumrah to Hazlewood, no run",â€¢,"short, angling in and climbing over middle stump. Stays leg-side of the ball and uses his height to get on top of the bounce and defend into the covers",Good,Outside Off
69.5,"Bumrah to Paine, 1 run",1,"short on off stump, gets up to chest height, pulled to deep square leg",Short,Off Stump
69.4,"Bumrah to Paine, no run",â€¢,"length ball on off stump, defended to midwicket",Good,Off Stump
69.3,"Bumrah to Paine, no run",â€¢,"shortish, angling into off stump with some extra bounce. Jumps up to ride the bounce and keep it down into the leg side with a turn of the wrists",Short,Off Stump
69.2,"Bumrah to Paine, no run",â€¢,"full on off stump, defended to mid-off",Full,Off Stump
69.1,"Bumrah to Paine, no run",â€¢,"length ball close to off stump, defended into the covers",Good,Outside Off
68.6,"Ashwin to Hazlewood, no run",â€¢,fuller and into leg stump. Neatly blocked on the front foot,Full,Leg Stump
68.5,"Ashwin to Hazlewood, no run",â€¢,"good length at middle stump, blocked on the front foot",Good,Middle Stump
68.4,"Ashwin to Hazlewood, FOUR runs",4,chipped over mid-on! Beautiful couple of boundaries here from Hazlewood. Picked his spots and executed perfectly. This is a length ball slanted into middle and leg. Perhaps a bit flatter. He uses his reach and the angle to loft this with a full face offered,Full,Off Stump
68.3,"Ashwin to Hazlewood, no run",â€¢,"full at leg stump, blocked on the front foot",Full,Leg Stump
68.2,"Ashwin to Hazlewood, FOUR runs",4,"drilled past the non-striker. Tossed up at leg stump, clears the front leg and swings cleanly. All along the ground",Full,Leg Stump
68.1,"Ashwin to Paine, 1 run",1,"short of a length at off, backs away and cuts to sweeper's left. Thought he had a second there but Shami puts in a good throw to stop them coming back",Good,Off Stump
67.6,"Shami to Hazlewood, no run",â€¢,"bouncer at middle stump, backs away and lets it go",Short,Middle Stump
67.5,"Shami to Hazlewood, no run",â€¢,"good length and into the stumps, blocked on the front foot",Good,Unknown
67.4,"Shami to Paine, 1 run",1,good length and angled into off stump from wide of the crease. Pushes it past the bowler off the front foot and takes the run,Good,Outside Off
67.3,"Shami to Paine, no run",â€¢,"good length on off stump, blocked on the front foot",Good,Off Stump
67.2,"Shami to Paine, no run",â€¢,"good length at middle stump, defended off the inside part through square leg. Refuses the run again",Good,Off Stump
67.1,"Shami to Paine, no run",â€¢,"refuses the single. Good length outside off, a handsome punch out to deep point",Good,Outside Off
66.6,"Ashwin to Hazlewood, no run",â€¢,"full on middle stump, tapped into the leg side with the angle",Full,Middle Stump
66.5,"Ashwin to Lyon, OUT",W,"chipped straight to short midwicket. It is a slow pitch, and that's on display here. Short of a length, cross-seam offbreak into the hips. He wants to turn that behind square off the back foot but closes the face early. Kohli holds on, smiles wide and breaths a sigh of relief",Good,Outside Off
66.4,"Ashwin to Paine, 1 run",1,"length at middle stump, flicked to midwicket",Good,Middle Stump
66.3,"Ashwin to Paine, no run",â€¢,"full on off stump, pushed back to the bowler",Full,Off Stump
66.2,"Ashwin to Lyon, 1 run",1,"good length and climbing outside off, gets down and sweeps to short fine's left",Good,Outside Off
66.1,"Ashwin to Lyon, no run",â€¢,"evades Saha who is diving in the direction of short leg. Short leg was taking evasive action against Lyon's sweep and couldn't quite reach out to his right. That came off the glove, a riser from outside off",Short,Outside Off
65.6,"Shami to Lyon, 1 run",1,"overpitched on the pads, a crisp flick along the ground to deep square",Unknown,Leg Stump
65.5,"Shami to Lyon, no run",â€¢,"good length at off stump, defended on the back foot",Good,Off Stump
65.4,"Shami to Lyon, no run",â€¢,past the outside edge. Short of a length and straightening as he closes the face for the one that slants in,Good,Unknown
65.3,"Shami to Lyon, no run",â€¢,"good length on off, defended solidly on the back foot",Good,Off Stump
65.2,"Shami to Lyon, FOUR runs",4,"oh you beauty! Top-drawer pull shot through midwicket from Lyon. Short of a length and just outside off. Not a ball you generally hit of the back foot. But he's deep and he swivels to get the weight through this, bat pointed downwards and a slap into the turf",Good,Outside Off
65.1,"Shami to Lyon, no run",â€¢,"good length at off stump, defended on the back foot",Good,Off Stump
64.6,"Ashwin to Paine, no run",â€¢,"good length ad pushed through at leg stump, stabbed to midwicket off the front foot",Good,Off Stump
64.5,"Ashwin to Lyon, 1 run",1,"good length on off stump, leans in and flicks to deep backward square",Good,Off Stump
64.4,"Ashwin to Lyon, no run",â€¢,"big appeal for lbw as Lyon sweeps. Ashwin is convinced that's out. Convinces Kohli to review. It does look close. A quicker one at a good length. Lyon shuffled into the off side as he attempted the shot. The ball did turn though, and might well have hit him in line with the stumps. On the front foot. But - there is a hot spot on the bat. Inside half of the bat. He's safe",Good,Off Stump
