ball,bowler_batsman,result,commentary,length,line
51.1,"Green to Rahane, no run",â€¢,"length ball outside off, some outswing but it's mostly after the batsman leaves it, just before reaching the keeper",Good,Outside Off
50.6,"Cummins to Agarwal, no run",â€¢,"length ball close to off stump, may have left that on length, because it was angling in and didn't finish too far outside off",Good,Outside Off
50.5,"Cummins to Agarwal, no run",â€¢,"back of a length on off stump, defended to short extra-cover",Good,Outside Off
50.4,"Cummins to Agarwal, no run",â€¢,"length ball on off stump, blocked back to the bowler",Good,Off Stump
50.3,"Cummins to Agarwal, FOUR runs",4,"loose. Full, angling in from wide of the crease, but it's not quite pitched right up for the drive. And Agarwal is a little late getting forward - in fact there's barely any stride - and he only manages a thick edge that flies away between second slip and gully",Full,Outside Off
50.2,"Cummins to Agarwal, no run",â€¢,"back of a length on off stump, blocked back to the bowler. Got nicely behind the line there",Good,Off Stump
50.1,"Cummins to Rahane, 1 run",1,"back of a length close to off stump. Jumps to ride the bounce and defend, and the ball hits the inside half of his bat, high up, and rolls away behind square on the leg side",Good,Off Stump
49.6,"Green to Agarwal, no run",â€¢,"full, angling into off stump, punched towards mid-off",Full,Off Stump
49.5,"Green to Agarwal, no run",â€¢,"length ball angling into off stump, clipped towards midwicket",Good,Off Stump
49.4,"Green to Agarwal, 2 runs",2,"full, angling in from wide of the crease and finishing just outside off. Uses his wrists to clip it straight of mid-on",Full,Outside Off
49.3,"Green to Agarwal, no run",â€¢,"now Green bounces Agarwal, and he ducks to let it pass over him, on an off-stumpish line",Short,Off Stump
49.2,"Green to Agarwal, no run",â€¢,"full, angling in close to off stump, good stride forward to drive, firmly and into the ground. Short extra-cover jumps up and stops it with his palm raised high above him",Full,Outside Off
49.1,"Green to Rahane, 1 run",1,"fullish, angling into the pads, tucked quietly into the backward square leg region",Full,Leg Stump
48.6,"Cummins to Agarwal, no run",â€¢,"back of a length close to off stump, hops across to defend towards point with an open face",Good,Outside Off
48.5,"Cummins to Agarwal, no run",â€¢,"big appeal for caught behind, and a review too. Shortish, this one's angling in towards Agarwal's hip as he hops to ride the bounce and glance it fine. Paine and Cummins go up immediately, but Paul Wilson isn't interested. Great decision - that came off the thigh, no bat at all",Short,Off Stump
48.4,"Cummins to Agarwal, no run",â€¢,"another bouncer, angled a little further inwards this time, ducks once more, dropping down low with his head to the off side of the ball",Short,Off Stump
48.3,"Cummins to Agarwal, no run",â€¢,"good bouncer, angling into off stump and climbing steeply at Agarwal, who ducks down low to get under it",Short,Off Stump
48.2,"Cummins to Agarwal, no run",â€¢,"back of a length on off stump, hops to ride the bounce and block towards mid-off",Good,Off Stump
48.1,"Cummins to Agarwal, no run",â€¢,"back of a length outside off, left alone",Good,Outside Off
47.6,"Green to Rahane, no run",â€¢,"length ball outside off, left alone",Good,Outside Off
47.5,"Green to Rahane, no run",â€¢,"in the blockhole on off stump, jabbed towards point",Unknown,Outside Off
47.4,"Green to Rahane, no run",â€¢,"fullish, fairly close to off stump, gets forward and punches with an open face, forcing the point fielder to dive left to stop the ball",Full,Outside Off
47.3,"Green to Agarwal, 1 run",1,"back of a length angling into the thigh pad, tucked into the square leg region",Good,Leg Stump
47.2,"Green to Agarwal, no run",â€¢,"full, close to off stump, nearly a yorker. Jabbed firmly towards mid-off",Yorker,Off Stump
47.1,"Green to Agarwal, no run",â€¢,"length ball on off and middle, gets on the back foot to defend into the off side",Good,Off Stump
46.6,"Cummins to Rahane, no run",â€¢,"length ball angling into off stump, defended to short extra-cover",Good,Outside Off
46.5,"Cummins to Agarwal, 1 run",1,"full, close to off stump, good stride forward to drive to the left of extra-cover",Full,Outside Off
46.4,"Cummins to Agarwal, no run",â€¢,"length ball, a bit wider outside off, left alone",Good,Outside Off
46.3,"Cummins to Agarwal, no run",â€¢,"length ball outside off, left alone",Good,Outside Off
46.2,"Cummins to Agarwal, no run",â€¢,"the Cummins stock ball. Just slightly back of a length, angling into the corridor and straightening away with steep bounce. Agarwal goes back and across to defend, doesn't get his bat anywhere near it",Good,Outside Off
46.1,"Cummins to Agarwal, 2 runs",2,"ooh, plays away from his body there. Quite full, but not exactly a drive ball outside off. Gets a good stride forward, though, head low towards the ball, and punches to the left of extra-cover",Full,Outside Off
45.6,"Green to Rahane, no run",â€¢,"length ball outside off, left alone",Good,Outside Off
45.5,"Green to Rahane, no run",â€¢,"length ball, goes wider outside off here, left alone",Good,Outside Off
