ball,bowler_batsman,result,commentary,length,line
105.4,"Bumrah to Smith, 1 run, OUT",W,"length ball at the stumps, looks to push it on the off side but gets an inside edge towards square leg, he wants to come back for the second but Jadeja sprints to the ball from deep square leg, a one-handed pick up and a direct hit to find Smith short despite the dive",Good,Off Stump
105.3,"Bumrah to Smith, no run",â€¢,"length ball angling on to the pads, finds himself in awkward, cramped position and misses the flick",Good,Leg Stump
105.2,"Bumrah to Smith, 2 runs",2,"length ball on middle and leg, flicks it towards fine leg for two more",Good,Middle Stump
105.1,"Bumrah to Smith, FOUR runs",4,"short of length outside off, a tennis forehand from Smith to hit to the deep midwicket boundary",Good,Outside Off
104.6,"Jadeja to Hazlewood, no run",â€¢,"length ball on the stumps, defends it on the leg side",Good,Leg Stump
104.5,"Jadeja to Hazlewood, no run",â€¢,"fuller on the stumps, flicks it towards midwicket but they don't take the single",Full,Unknown
104.4,"Jadeja to Smith, 1 run",1,"short of length outside off, steers it behind point",Good,Outside Off
104.3,"Jadeja to Smith, 2 runs",2,"another attempted scoop and he gets some bat this time, over short fine for a couple",Short,Leg Stump
104.2,"Jadeja to Smith, no run",â€¢,"length ball around off, looks to scoop it over but misses",Good,Off Stump
104.1,"Jadeja to Smith, 2 runs",2,"length ball around off and middle, skips down and flicks it towards midwicket, comes back for the second",Good,Off Stump
103.6,"Bumrah to Hazlewood, no run",â€¢,"short of length outside off from around the wicket, left alone",Good,Outside Off
103.5,"Bumrah to Smith, 3 runs",3,"aims for a yorker at the stumps, Smith backs away and takes it on the full, hits straight down the ground. A desperate chase from Gill to pull it just inside, they take three",Yorker,Unknown
103.4,"Bumrah to Hazlewood, 1 run",1,"fuller around off, defends it towards the right of extra cover and sneaks in a quick single",Full,Outside Off
103.3,"Bumrah to Smith, 1 run",1,"fuller at the stumps, gives himself some room and hits it inside out through extra cover for a single",Full,Outside Off
103.2,"Bumrah to Smith, FOUR runs",4,backs away this time to the short ball and ramps it over slips for four,Short,Outside Off
103.1,"Bumrah to Smith, 2 runs",2,clears his front leg and hits it over extra cover and they collect two,Good,Outside Off
102.6,"Jadeja to Hazlewood, no run",â€¢,"pitched up again, defended back",Unknown,Unknown
102.5,"Jadeja to Hazlewood, no run",â€¢,"fuller around off, pushes on the off side",Full,Off Stump
102.4,"Jadeja to Lyon, OUT",W,"another full delivery gets Jadeja a wicket. This time it hits Lyon full on the shoe and the umpire had no hesitation in giving him out lbw. He reviews immediately but that's more in hope than anything else. No bat involved there, the impact is in line and Lyon is already near the boundary line as the third umpire asks for the Hawk-Eye. Would have crashed into middle and leg",Full,Middle Stump
102.3,"Jadeja to Lyon, no run",â€¢,"fuller around off, comes forward and blocks",Full,Off Stump
102.2,"Jadeja to Smith, 1 run",1,"fuller outside off, driven through covers but only for one",Full,Outside Off
102.1,"Jadeja to Smith, FOUR runs",4,Smith has decided to cut loose. Goes for the slog sweep and dispatches this to deep square leg boundary,Unknown,Leg Stump
101.6,"Saini to Lyon, no run",â€¢,"length outside off, moves away off the seam to beat the bat as Lyon was looking to defend it. A mild enquiry for caught-behind but not out",Good,Outside Off
101.5,"Saini to Starc, OUT",W,"and the plan has eventually paid off. Another short of length delivery outside off, Starc cannot resist the temptation of another pull but this time it's a top edge and Gill runs a couple of steps forward and to his left and settles under it",Good,Outside Off
101.4,"Saini to Starc, 2 runs",2,"short of length outside off, Starc once again goes for the full, wasn't in control but enough on it to clear mid-on. Gill chases it but it is out of his reach",Full,Outside Off
101.3,"Saini to Starc, SIX runs",6,"length ball on the leg stump and Starc pulls it away nonchalantly, there is a fielder at deep square leg but he doesn't mind, clears the boundary line on the full",Full,Leg Stump
101.2,"Saini to Starc, no run",â€¢,"back to bouncer but on the leg stump, Starc fails to connect the hook",Short,Leg Stump
101.2,"Saini to Starc, (no ball)",1nb,"a high full toss, looked like that slipped from Saini's hand. But thankfully it was way outside off. Saini apologies, called a no-ball though",Yorker,Outside Off
101.1,"Saini to Starc, no run",â€¢,a bouncer but Starc had no problem ducking under that,Short,Unknown
100.6,"Jadeja to Smith, no run",â€¢,"length ball at the stumps, stands tall and punches it back",Good,Unknown
100.5,"Jadeja to Smith, no run",â€¢,skips down the track before thrusting his bat and pad at this length ball,Good,Leg Stump
100.4,"Jadeja to Starc, 1 run",1,"fuller around off, looks to go for a big hit over long-on but doesn't middle it. A single to deep midwicket",Full,Off Stump
100.3,"Jadeja to Starc, no run",â€¢,"length ball around off, goes back and pushes it to the right of Jadeja but he is quick to field it himself",Good,Off Stump
100.2,"Jadeja to Starc, no run",â€¢,"too full around off, pushes back towards the bowler",Full,Off Stump
100.1,"Jadeja to Smith, 1 run",1,"fuller around off, pushes it towards covers",Full,Outside Off
99.6,"Saini to Starc, no run",â€¢,"another short ball, this time outside off. Starc goes at it again but doesn't connect",Short,Outside Off
99.6,"Saini to Starc, (no ball) FOUR runs",5nb,"short again, and Starc takes him on, pulls powerfully to deep square leg. And Saini's overstepped too, so it's another no-ball",Full,Leg Stump
99.5,"Saini to Smith, 1 run",1,"full outside off, patted softly into the offside for a quick single",Full,Outside Off
99.4,"Saini to Starc, 1 run",1,"and yet another short ball, this is Starc getting some of his own medicine perhaps. He was in a tangle against this, unsure of whether to evade it, ends up fending it away and it rolls to square leg",Short,Leg Stump
99.3,"Saini to Starc, no run",â€¢,"another short ball, rises up to his shoulders, Starc goes for the pull, is late on it and gets it on the toe end as the ball plops down towards cover",Good,Outside Off
99.2,"Saini to Starc, no run",â€¢,"another bouncer, going across him but that didn't rise as much. Starc was ducking, and luckily for him the line took it away from him",Short,Unknown
99.1,"Saini to Starc, no run",â€¢,"bouncer on leg stump, sways under",Short,Leg Stump
98.6,"Jadeja to Smith, no run",â€¢,"tossed up on off, driven on the front foot, cover fields",Full,Outside Off
98.5,"Jadeja to Smith, no run",â€¢,"length on the stumps, clipped to midwicket",Good,Unknown
98.5,"Jadeja to Smith, (no ball)",1nb,"down the track but ends up yorking himself, manages to jam bat down to keep the ball static. And another no ball called by the third umpire.",Unknown,Unknown
98.4,"Jadeja to Smith, no run",â€¢,"too short, stays legside of it to cut, but can't beat point",Short,Outside Off
98.3,"Jadeja to Smith, no run",â€¢,"floated up on a sixth stump line, left alone",Unknown,Unknown
98.2,"Jadeja to Smith, no run",â€¢,"length on the stumps, clipped to midwicket",Good,Unknown
98.1,"Jadeja to Smith, no run",â€¢,"length on the stumps, defended back",Good,Unknown
97.6,"Saini to Smith, 3 runs",3,"Steven Smith has got a hundred and the cricket gods are smiling. Outstanding knock. He's shown some rare emotion on getting there too, punching the bat in the air. Not the best ball to bowl to a batsman on 99, half volley on the stumps. Ends up being on the pads due to Smith's moving across, and he picks it off behind square nicely to get to the landmark",Unknown,Off Stump
97.5,"Saini to Smith, no run",â€¢,"length outside off, Smith pushing forward to defend, gets an inside edge towards mid-on. Jadeja's lightning quick there and Starc's thoughts of a quick single are quickly put to rest",Good,Outside Off
97.4,"Saini to Smith, no run",â€¢,"fuller outside off, defended to cover",Full,Outside Off
97.3,"Saini to Starc, 1 run",1,"length ball on the stumps, steers it into the covers after being a bit squared up",Good,Outside Off
97.2,"Saini to Starc, FOUR runs",4,"boom. Disdainful thump down the ground with a lofted on-drive. Didn't move feet, didn't need to because he stayed balanced and made good connection",Unknown,Unknown
97.1,"Saini to Starc, no run",â€¢,"length on the stumps, defended from the crease",Good,Unknown
96.6,"Jadeja to Smith, no run",â€¢,"floated up on the stumps, Smith calmly plants front foot forward to defend. As if he's batting on 79, not 99",Unknown,Unknown
96.5,"Jadeja to Starc, 3 runs",3,"outside edge goes past slip. Stretched forward to defend that, but was too much inside the line and got a healthy edge",Unknown,Outside Off
96.4,"Jadeja to Starc, no run",â€¢,"length ball on off, defended",Good,Off Stump
96.3,"Jadeja to Starc, no run",â€¢,"staying in his crease is Starc, and playing it off the pitch almost, fuller on the stumps, patted away",Full,Off Stump
96.2,"Jadeja to Starc, no run",â€¢,"floated up around off again, he stays back this time and pats it gently towards mid-on",Good,Off Stump
96.1,"Jadeja to Starc, no run",â€¢,"fuller, drawing him on the front foot to defend on off",Full,Off Stump
95.6,"Saini to Smith, no run",â€¢,"full on the stumps, it was there for the flick with Smith moving across, and he gets bat on it, but can't beat square leg",Full,Leg Stump
95.5,"Saini to Starc, 1 run",1,"fuller on the stumps, pushed into the covers and they settle for just a single",Full,Outside Off
95.4,"Saini to Starc, no run",â€¢,"another bouncer, but too far down leg and Starc doesn't even have to move to evade it",Short,Leg Stump
95.3,"Saini to Starc, no run",â€¢,"follows it up with the fuller one going across him, Starc goes for the punch without moving his feet, beaten.",Full,Unknown
95.2,"Saini to Starc, no run",â€¢,"good short ball, but well dealt with too. Rises up to his grille, didn't expect it to rise so high but got hands up to defend. Wore it on the gloves",Short,Unknown
95.1,"Saini to Starc, no run",â€¢,"full, slanting across him, goes for the drive and is beaten",Full,Unknown
94.6,"Jadeja to Starc, 1 run",1,"tossed up outside off, comes on the front foot to punch it, gets a single which means he'll keep strike with Smith on 99",Full,Outside Off
94.5,"Jadeja to Starc, no run",â€¢,"length ball sliding down leg, he misses the flick",Good,Leg Stump
94.4,"Jadeja to Cummins, OUT",W,"cleaned him up. Jadeja gave this one a lot of air, and got the flight perfect, ended up almost yorking Cummins, who played all around it. Seemed to lose it in the flight almost and was late to react. stumps broken. Jadeja's having quite a day",Unknown,Unknown
94.4,"Jadeja to Cummins, (no ball)",1nb,"length outside off, punched away but cover comes across to his left to field. Jadeja over-stepped on that one, so it's a no-ball.",Good,Outside Off
94.3,"Jadeja to Smith, 1 run",1,"length outside off, stays beside and punches to deep cover to move to 99",Good,Outside Off
94.2,"Jadeja to Smith, no run",â€¢,"very full on the stumps, blocked",Full,Unknown
94.1,"Jadeja to Smith, no run",â€¢,"fuller on off, defended on the front foot",Full,Off Stump
93.6,"Saini to Smith, 1 run",1,"back of a length, swivels to pull it, didn't rise really high and he hit it at around waist height. There is a deep square leg so only one",Good,Leg Stump
93.5,"Saini to Smith, no run",â€¢,"coming in a mite, fuller on off, defended from the crease",Full,Off Stump
93.4,"Saini to Smith, no run",â€¢,"fuller outside off, comes on the front foot to meet it, with bat close to body, defends to cover",Full,Outside Off
93.3,"Saini to Smith, no run",â€¢,"length outside off, defended back to the bowler",Good,Outside Off
93.2,"Saini to Smith, 2 runs",2,"back of a length outside off, Smith's moving across so you think he's a bit too close to the ball but he's so well balanced that when he punches, it makes sweet, sweet connection. Deep point has to run to his left to gather",Good,Outside Off
93.1,"Saini to Smith, no run",â€¢,"fuller outside off, came on the front foot to drive, got it off the inside half to mid-on",Full,Outside Off
92.6,"Bumrah to Cummins, no run",â€¢,"good length outside off, zips through to Pant",Good,Outside Off
92.5,"Bumrah to Cummins, 4 byes",4b,"that's bounced over Pant. Banged in short and fast, but too short and Cummins ducks under. It almost swerved after bouncing and thought Pant moved to his left and leapt up, that one evaded him",Short,Unknown
92.4,"Bumrah to Cummins, no run",â€¢,"length outside off, coming in with the angle, left alone",Good,Outside Off
92.3,"Bumrah to Smith, 1 run",1,"fullish around off, moves across again and clips it off his pads between mid-on and midwicket",Full,Off Stump
92.2,"Bumrah to Smith, no run",â€¢,"fuller outside off, defended to extra cover",Full,Outside Off
92.1,"Bumrah to Smith, no run",â€¢,"good length on the fourth stump, he's moved across and defended with a straight bat, to mid-on",Good,Unknown
91.6,"Saini to Cummins, no run",â€¢,full on off again but a confident front foot defence by Cummins,Full,Off Stump
91.5,"Saini to Cummins, no run",â€¢,"fuller on off, comes on the front foot to defend",Full,Off Stump
91.4,"Saini to Cummins, no run",â€¢,"fuller on a sixth stump line, easy enough leave for Cummins",Full,Unknown
91.3,"Saini to Smith, 1 run",1,"short outside off, cut away but there is protection now, with a deep point",Short,Outside Off
91.2,"Saini to Smith, FOUR runs",4,"too full on the toes, you can't bowl there to Smith in this form, and he effortlessly flicks it to the midwicket boundary",Full,Unknown
91.1,"Saini to Smith, no run",â€¢,"back of a length outside off again, punched nicely once again but this time can't beat the cover fielder",Good,Outside Off
90.6,"Bumrah to Cummins, no run",â€¢,"back of a length on a fifth stump line, left alone",Good,Unknown
90.5,"Bumrah to Smith, 1 run",1,"length on the fourth stump, moves across and taps it softly through midwicket",Good,Unknown
90.4,"Bumrah to Smith, no run",â€¢,"back of a length in the channel, left alone",Good,Unknown
90.3,"Bumrah to Smith, 2 runs",2,"magnificent by Smith. Made Bumrah bowl fuller with that last shot, shuffled across and clipped it off his toes through midwicket",Full,Off Stump
90.2,"Bumrah to Smith, FOUR runs",4,"lovely. Small error in length by Bumrah and Smith is just so good. Back of a length outside off, stands tall and punches beautifully through cover",Full,Outside Off
90.1,"Bumrah to Smith, no run",â€¢,"had to jab bat down a mite quicker than expected. Length ball outside off, straightens a touch and skids on, defended",Good,Outside Off
89.6,"Siraj to Cummins, no run",â€¢,"fuller this time, he's half forward with bat close to pad, gets a thick inside edge to leg gully",Full,Outside Off
89.5,"Siraj to Cummins, no run",â€¢,"slanting into him, and Cummins stays in his crease to defend carefully back down the pitch",Full,Unknown
89.4,"Siraj to Cummins, no run",â€¢,"length ball jagging in, defended solidly from the crease",Good,Unknown
89.3,"Siraj to Smith, 1 run",1,"short ball, swivels and keeps his pull down, one run to deep square leg",Short,Leg Stump
89.2,"Siraj to Smith, no run",â€¢,"fuller on off, moves across and on-drives crisply but can't beat mid-on",Full,Off Stump
89.1,"Siraj to Smith, no run",â€¢,"another loud shout but he was struck outside the line. Siraj wants a review, but Rahane isn't convinced. Length ball jagging in, and actually that's not too much outside the line but it does look like it would go over the stumps. Smith was shuffling across, and replays show the impact was in fact marginally outside off, and it was also going over. Good call by Rahane to not review.",Good,Outside Off
88.6,"Bumrah to Cummins, no run",â€¢,"bouncer first up, but directed down leg side, so Cummins is able to not get bat near it.",Short,Leg Stump
88.5,"Bumrah to Paine, OUT",W,"timber. Sensational from Bumrah, went clean through Paine, having opened up a big gap between bat and pad. On a length, jagging in sharply, helped by the angle too. It's not full enough to drive, but has drawn Paine into striding out to drive it, and then zipped through in the yawning gap. Stumps shattered.",Full,Leg Stump
88.4,"Bumrah to Smith, 1 run",1,"good length, nipping in on off, moves across to punch it to mid-on's right",Good,Off Stump
88.3,"Bumrah to Smith, no run",â€¢,"length in the channel, pushed back to the bowler",Good,Unknown
88.2,"Bumrah to Paine, 1 run",1,"fuller on off, tapped gently to cover and Paine is alive to the possibility of a quick single, calls Smith through for a well judged run",Full,Outside Off
88.1,"Bumrah to Smith, 1 run",1,"and starts with the line attacking the stumps, but Smith moves across and clips to fine leg",Unknown,Leg Stump
87.6,"Siraj to Paine, no run",â€¢,"no shot offered and loud shout. They'll not go for the review, that was probably a bit high. Length ball outside off, seamed in sharply and Paine was shouldering arms, struck on the thigh pad. Siraj was convinced he'd got his man, but Rahane wasn't convinced enough to review the 'not out' decision.",Good,Outside Off
87.5,"Siraj to Smith, 1 run",1,"length ball nipping in from outside off, plays with the angle to clip to square leg",Good,Outside Off
